#,关键词,法规,别称
12,,《中国大百科全书●法学卷》,
13,,《民事诉讼法》,
14,,《海商法》,
15,,《奥列隆惯例集》,
16,,《海事裁判例》,
17,,《康索拉度法》,
18,,《维斯比法》,
19,,《海上指南》,
20,,《英国海事黑皮书》,
21,,《海事条例》,
22,,《法国商典法》,
23,,《海商法(第2版)》,
24,,《中外合资经营企业法》,
25,,《公司法》,
26,,《信托法》,
,,,
1,中华人民共和国土地增值税暂行条例,《中华人民共和国土地增值税暂行条例》,
2,,《国务院关于废止和修改部分行政法规的决定》,
3,,《中华人民共和国税收征收管理法》,
,,,
1,关于企业所得税若干优惠政策的通知,《中华人民共和国企业所得税法》,
2,,《中华人民共和国企业所得税法实施条例》,
3,,《国务院关于实施企业所得税过渡优惠政策的通知》,
4,,《国务院关于经济特区和上海浦东新区新设立高新技术企业实行过渡性税收优惠的通知》,
5,,《中华人民共和国企业所得税暂行条例》,
6,,《资源综合利用目录》,
,,,
1,标准化,《茶馆经营服务规范》,
,,,
1,合格境外机构投资,,
,,,
1,关于加强非居民企业股权转让所得企业所得税管理的通知,,
,,,
1,车辆购置税,《中华人民共和国车辆购置税暂行条例》,
2,,《办法》,
3,,《车辆购置税纳税申报表》,
4,,《机动车销售统一发票》,
5,,《居民身份证》,
6,,《居民户口簿》,
7,,《组织机构代码证书》,
8,,《海关关税专用缴款书》,
9,,《海关代征消费税专用缴款书》,
10,,《征免税证明》,
11,,《中华人民共和国海关货物进口证明书》,
12,,《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》,
13,,《没收走私汽车、摩托车证明书》,
14,,《国家税务总局关于车辆购置税税收政策及征收管理有关问题的通知》,
15,,《车辆购置税完税证明》,
16,,《北京市国家税务局转发〈国家税务总局关于车辆购置税税收政策及征收管理有关问题的通知〉的通知》,
17,,《车辆购置税征收管理办法》,
18,,《车辆购置税退税申请表》,
19,,《车辆购置税退税申报表》,
20,,《中华人民共和国税收收入退还书》,
21,,《财政部国家税务总局关于防汛专用等车辆免征车辆购置税的通知》,
22,,《关于试行社会保险基金预算的意见》,
,,,
1,财税[2009]63号,,
,,,
1,境内机构境外直接投资外汇管理规定,《中华人民共和国外汇管理条例》,
2,,《境内机构境外直接投资外汇管理规定》,
3,,《规定》,
4,,《境外直接投资外汇登记申请表》,
,,,
1,加计扣除,,
,,,
1,中华人民共和国企业法人登记管理条例施行细则,《中华人民共和国企业法人登记管理条例施行细则》,
2,,《国家工商行政管理总局关于修改〈中华人民共和国企业法人登记管理条例施行细则〉、〈外商投资合伙企业登记管理规定〉、〈个人独资企业登记管理办法〉、〈个体工商户登记管理办法〉等规章的决定》,
3,,《细则》,
4,,《外商投资合伙企业登记管理规定》,
5,,《个人独资企业登记管理办法》,
6,,《个体工商户登记管理办法》,
7,,《注册资本登记制度改革方案》,
8,,《国家工商行政管理总局关于按照〈中华人民共和国行政强制法〉修改有关规章的决定》,
9,,《中华人民共和国企业法人登记管理条例》,
10,,《条例》,
11,,《中华人民共和国中外合资经营企业法》,
12,,《中华人民共和国中外合作经营企业法》,
13,,《中华人民共和国外资企业法》,
14,,《企业法人营业执照》,
15,,《营业执照》,
16,,《外商投资企业办事机构注册证》,
17,,《筹建许可证》,
,,,
1,税务,,
,,,
1,证券公司 股权转让,,
,,,
1,企业股权转让,,
,,,
1,外商投资合伙企业登记管理规定,《外商投资合伙企业登记管理规定》,
2,,《国家工商行政管理总局关于修改〈中华人民共和国企业法人登记管理条例施行细则〉、〈外商投资合伙企业登记管理规定〉、〈个人独资企业登记管理办法〉、〈个体工商户登记管理办法〉等规章的决定》,
3,,《规定》,
4,,《中华人民共和国企业法人登记管理条例施行细则》,
5,,《个人独资企业登记管理办法》,
6,,《个体工商户登记管理办法》,
7,,《注册资本登记制度改革方案》,
8,,《中华人民共和国合伙企业法》,
9,,《合伙企业法》,
10,,《外国企业或者个人在中国境内设立合伙企业管理办法》,
11,,《中华人民共和国合伙企业登记管理办法》,
12,,《合伙企业登记管理办法》,
13,,《外商投资产业指导目录》,
14,,《外商投资合伙企业营业执照》,
15,,《法律文件送达授权委托书》,
16,,《无照经营查处取缔办法》,
,,,
1,国家税务总局关于企业所得税若干税务事项衔接问题的通知,《中华人民共和国企业所得税法》,
2,,《中华人民共和国外商投资企业和外国企业所得税法》,
3,,《中华人民共和国企业所得税暂行条例》,
4,,《国家税务总局关于做好2007年度企业所得税汇算清缴工作的补充通知》,
,,,
1,基金管理公司,《证券投资基金法》,
2,,《公司法》,
3,,《企业名称预先核准通知书》,
,,,
1,外商投资企业所得税,,
,,,
1,商誉,《会计理论》,
2,,《企业合并》,
3,,《关于执行〈企业会计制度〉和 相关会计准则有关问题解答（三）》,
4,,《企业会计准则第8号——资产减值》,
,,,
1,稀土,《南方五省（区）15市稀土开发监管区域联合行动方案》,工业维生素
2,,《中国的稀土状况与政策》,
3,,《稀土行业准入条件》,
4,,《Rare Earths-Mineral Commodity Summaries》,
5,,《每日电讯报》,
6,,《铁观音稀土超标，过量摄入对人体有害》,
,,,
1,碳排放,《中华人民共和国国民经济和社会发展统计公报》,温室气体排放
2,,《联合国气候变化框架公约》,
3,,《公约》,
4,,《京都议定书》,
5,,《议定书》,
,,,
1,公司章程,《公司法》,
2,,《商法》,
3,,《联设新轮船公司章程》,
4,,《企业法人登记管理条例实施细则》,
5,,《到境外上市公司章程必备条款》,
6,,《必备条款》,
7,,《重庆*****广告有限公司章程》,
8,,《中华人民共和国公司法》,
9,,《中华人民共和国公司登记管理条例》,
10,,《中华人民共和国工会法》,
11,,《劳动法》,
,,,
1,名誉权,《中华人民共和国民法通则》,
2,,《民法通则》,
3,,《民通意见》,
4,,《最高人民法院关于徐良诉上海文化艺术报社等侵害名誉权一案的复函》,
5,,《上海文化艺术报》,
6,,《中华人民共和国宪法》,
7,,《关于审理名誉权案件若干问题的解答》,
8,,《千万别学谢晋这样死!》,
9,,《刘信达愿出庭作证谢晋嫖妓死》,
10,,《关于维护互联网安全的决定》,
11,,《关于审理非法出版物刑事案件具体应用法律若干问题的解释》,
12,,《财经》,
,,,
1,期权,《英汉证券投资词典》,
2,,《试行办法》,
,,,
1,董事,,
,,,
1,关于非贸易及部分资本项目项下售付汇提交税务凭证有关问题的通知,,
,,,
1,境外投资外汇管理办法,《境外投资外汇管理办法》,
2,,《国务院关于废止和修改部分行政法规的决定》,
3,,《违反外汇管理处罚施行细则》,
,,,
1,股息 企业所得税,,
,,,
1,平销返利,《国家税务总局关于商业企业向货物供应方收取的部分费用征收流转税问题的通知》,
,,,
1,进项税转出,《增值税暂行条例》,
2,,《增值税暂行条例实施细则》,
3,,《国家税务总局关于商业企业向货物供应方收取的部分费用征收流转税问题的通知》,
,,,
1,债务重组,,
,,,
1,最高人民法院,《宪法》,
2,,《人民法院组织法》,
,,,
1,代销,,网店代理
,,,
1,中华人民共和国会计法,《中华人民共和国会计法》,
2,,《关于修改〈中华人民共和国会计法〉的决定》,
,,,
1,航空税收,,
,,,
1,员工补助,,
,,,
1,王某某故意伤害罪案,,
,,,
1,辅导期,,
,,,
1,大豆,《食疗本草》,Soybean
2,,《本草汇言》,
3,,《日用本草》,
4,,《本经逢原》,
5,,《史记》,
6,,《五帝本纪》,
7,,《史记*卷二十七》,
8,,《中国古代史》,
9,,《卜辞》,
10,,《全上古三代秦汉三国六朝文》,
11,,《关于免征储备大豆增值税政策的通知》,
12,,《财政部国家税务总局关于粮食企业增值税征免问题的通知》,
,,,
1,不定时工作制,《中华人民共和国劳动法》,无时工作制
2,,《关于企业实行不定时工作制和综合计算工时工作制的审批办法》,
3,,《劳动法》,
4,,《北京工资支付规定》,
5,,《上海市企业工资支付办法》,
6,,《劳动部关于企业实行不定时工作制和综合计算工时工作制的审批办法》,
7,,《关于贯彻〈国务院关于职工工作时间的规定〉的实施办法》,
8,,《劳动部关于印发〈关于企业实行不定时工作制和综合计算工时工作制的审批办法〉的通知》,
9,,《重庆市劳动局关于贯彻〈国务院关于职工工作时间的规定〉有关问题的通知》,
10,,《关于应对当前经济形势稳定劳动关系的指导意见》,
11,,《办法》,
12,,《本市企业实行不定时工作制和综合计算工时工作制的审批办法》,
13,,《企业实行不定时工作制和综合计算工时工作制申请表》,
14,,《企业实行不定时工作制和综合计算工时制审批办法》,
,,,
1,房地产开发企业所得税预缴,,
,,,
1,可再生能源,,
,,,
1,国税发[1994]89号,,
,,,
1,抵押,《物权法》,
2,,《担保法》,
3,,《关于适用〈中华人民共和国担保法〉若干问题的解释》,
4,,《动产担保交易法》,
5,,《担保法解释》,
,,,
1,中华人民共和国契税暂行条例,《契税暂行条例》,
,,,
1,双边税收协定,《企业所得税法》,
2,,《企业所得税法实施条例》,
3,,《内地和香港特别行政区关于对所得避免双重征税和防止偷漏税的安排》,
4,,《国家税务总局关于执行税收协定股息条款有关问题的通知》,
5,,《国家税务总局关于印发〈非居民享受税收协定待遇管理办法（试行）〉的通知》,
,,,
1,工程安全,,
,,,
1,苏州工业园区 与 税,,
,,,
1,承包 增值税,,
,,,
1,珠海特区土地,,
,,,
1,委托创作作品 侵权,,
,,,
1,设立企业研发中心,,
,,,
1,建筑安装工程 承包,,
,,,
1,演出经纪人管理办法,,
,,,
1,上海 连续工龄,,
,,,
1,船员,《中华人民共和国船员条例》,
,,,
1,朱某某盗窃罪案,,
,,,
1,高等院校,《教育部关于“十一五”期间普通高等学校设置工作的意见》,
2,,《中国教育改革和发展纲要》,
3,,《关于的实施意见》,
,,,
1,增值税红字发票,《进货退出或索取折让证明单》,
2,,《证明单》,
3,,《开具红字增值税专用发票申请单》,
4,,《申请单》,
5,,《开具红字增值税专用发票通知单》,
6,,《通知单》,
,,,
1,年金,《国务院批转深化收入分配制度改革若干意见》,
,,,
1,弥补亏损,《弥补亏损明细表》,
2,,《企业所得税法》,
3,,《税前弥补亏损明细表》,
4,,《企业年度亏损或税前弥补亏损申报表》,
5,,《弥补亏损台帐》,
,,,
1,中华人民共和国证券法,《关于修改〈中华人民共和国证券法〉的决定》,
2,,《中华人民共和国证券法》,
3,,《关于修改〈中华人民共和国文物保护法〉等十二部法律的决定》,
4,,《中华人民共和国公司法》,
,,,
1,上海证券交易所股票上市规则,,
,,,
1,信用卡,《2013-2017年中国信用卡行业深度调研与投资战略规划分析报告》,
2,,《还不清的信用卡》,
,,,
1,虚开发票,《中华人民共和国发票管理办法》,
2,,《增值税专用发票使用规定 （试行）》,
3,,《刑法》,
4,,《关于惩治虚开、伪造和非法出售增值税专用发票犯罪的决定》,
